time,ax,ay,az,wx,wy,wz,Bx,By,Bz
2023-10-17 22:19:30.1720,-0.09,0.04,0.11,0.02,-0.04,0.02,6.82,102.76,-626.49
2023-10-17 22:19:30.1770,-0.06,0.07,0.09,-0.0,-0.05,0.03,6.59,102.4,-627.09
2023-10-17 22:19:30.1850,-0.04,0.06,0.03,-0.01,-0.06,0.03,6.54,102.96,-626.62
2023-10-17 22:19:30.1960,-0.07,0.07,-0.01,-0.01,-0.05,0.03,6.51,102.34,-627.17
2023-10-17 22:19:30.2060,-0.09,0.09,-0.04,-0.01,-0.04,0.03,6.48,101.95,-627.22
2023-10-17 22:19:30.2160,-0.08,0.05,-0.07,-0.01,-0.02,0.03,6.39,102.77,-626.39
2023-10-17 22:19:30.2260,-0.04,0.0,-0.06,-0.0,-0.01,0.03,6.09,102.02,-627.3
2023-10-17 22:19:30.2360,-0.01,-0.03,-0.08,0.0,-0.0,0.02,6.83,102.68,-626.6
2023-10-17 22:19:30.2460,0.02,-0.06,-0.07,0.0,0.0,0.01,7.07,102.3,-627.23
2023-10-17 22:19:30.2560,0.04,-0.05,-0.03,-0.0,0.0,0.0,6.53,102.8,-626.3
2023-10-17 22:19:30.2660,0.02,-0.05,0.0,0.01,0.01,0.01,6.26,101.88,-627.19
2023-10-17 22:19:30.2760,-0.01,-0.03,0.04,0.02,0.02,0.01,6.4,102.52,-626.82
2023-10-17 22:19:30.2860,-0.04,0.0,0.02,0.02,0.02,0.01,6.61,102.41,-627.06
2023-10-17 22:19:30.2960,-0.04,0.02,0.02,0.01,0.01,0.02,6.67,102.83,-626.87
2023-10-17 22:19:30.3060,-0.05,0.0,0.06,0.01,-0.01,0.02,6.64,102.26,-627.48
2023-10-17 22:19:30.3160,-0.03,-0.05,0.08,0.01,-0.01,0.01,6.69,102.94,-627.1
2023-10-17 22:19:30.3270,0.01,-0.05,0.01,0.01,-0.02,0.01,6.26,102.5,-627.32
2023-10-17 22:19:30.3370,0.01,-0.05,0.01,-0.01,-0.02,0.0,6.83,102.81,-626.82
