timestamp,acc_x,acc_y,acc_z,act,fall,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
0,14.460.978.507.995.600,63.302.693.367.004.300,719.936.466.217.041,TRO,0,-13.377.949.595.451.300,-3.219.259.977.340.690,-4.043.927.788.734.430,587.999.963.760.376,-5.819.999.694.824.210,18.479.999.542.236.300
1,10.749.965.906.143.100,5.705.382.823.944.090,7.405.265.808.105.460,TRO,0,-15.515.977.144.241.300,-24.434.609.711.170.100,-455.705.463.886.261,10.019.999.504.089.300,-5.519.999.980.926.510,1.703.999.900.817.870
1,6.129.156.351.089.470,32.609.026.432.037.300,51.116.204.261.779.700,TRO,0,-22.540.926.933.288.500,8.869.763.612.747.190,-1.918.116.807.937.620,11.639.999.389.648.400,-5.519.999.980.926.510,16.920.000.076.293.900
1,24.013.843.536.376.900,1.680.729.627.609.250,49.799.394.607.543.900,TRO,0,-8.124.507.665.634.150,-15.460.999.011.993.400,-9.132.435.321.807.860,11.579.999.923.706.000,-3.299.999.952.316.280,16.260.000.228.881.800
2,14.662.091.255.187.900,-5.669.469.833.374.020,7.122.750.282.287.590,TRO,0,-13.213.015.794.754.000,-3.050.661.087.036.130,-1.441.641.926.765.440,17.940.000.534.057.600,22.200.000.286.102.200,6
2,10.342.951.774.597.100,7.972.691.655.158.990,4.525.041.103.363.030,TRO,0,-36.022.722.721.099.800,-17.776.178.121.566.700,2.219.273.328.781.120,1.884.000.015.258.780,38.399.999.141.693.100,-7.799.999.713.897.700
2,16.184.803.009.033.200,-4.606.443.881.988.520,51.810.526.847.839.300,TRO,0,-7.312.057.018.280.020,2.528.982.162.475.580,19.792.033.731.937.400,16.979.999.542.236.300,6.420.000.076.293.940,-13.5
3,3.957.615.375.518.790,-5.394.136.428.833.000,-18.148.049.116.134.600,TRO,0,35.045.340.061.187.700,6.615.670.323.371.880,-21.923.954.486.846.900,16.079.999.923.706.000,6.299.999.713.897.700,-1.619.999.885.559.080
3,-13.096.283.674.240.100,2.736.572.504.043.570,6.550.535.678.863.520,TRO,0,-2.822.197.377.681.730,-44.287.729.263.305.600,-4.349.360.466.003.410,13.5,4.079.999.923.706.050,-2.003.999.900.817.870
3,5.216.965.675.354.000,-4.491.522.312.164.300,-11.659.762.859.344.400,TRO,0,8.112.290.501.594.540,-6.475.171.446.800.230,-7.061.602.473.258.970,8.460.000.038.146.970,10.079.999.923.706.000,-21.299.999.237.060.500
