acc_max,acc_kurtosis,acc_skewness,gyro_max,gyro_kurtosis,gyro_skewness,linMaxValue,postLinMaxValue,postGyroMaxValue,postMagMaxValue,mag_max,mag_curtosis,mag_skewness,act,fall
6.873.591.188.356.350,-29.999.979.159.659.500,2.107.131.682.992.950,8.216.940.789.232.830,-2.995.589.914.763.290,1.172.521.191.220.410,5.892.591.188.356.350,3.700.888.978.208.420,6.631.221.390.271.470,2.283.321.214.112.280,2.119.163.961.867.470,-2.989.874.052.850.860,2.034.672.559.306.190,TRO,0
9.830.641.617.917.880,-2.947.331.516.599.840,-5.883.970.888.267.720,42.700.596.407.533.700,-2.897.489.107.052.440,18.162.823.784.383.900,20.641.617.917.883.400,10.595.479.987.915.600,6.372.973.054.896.370,2.132.795.306.345.960,21.625.650.830.727.300,-22.821.745.502.977.200,-10.929.655.211.483.300,SEN,0
11.413.295.743.953.300,-2.987.723.296.945.780,8.460.115.985.796.390,18.696.215.413.463.500,-19.249.536.066.486.800,-584.461.475.893.696,1.603.295.743.953.310,12.455.467.261.745.600,22.320.682.675.318.000,19.034.662.771.461.700,18.656.622.697.705.500,-29.457.057.574.418.700,-5.623.185.852.909.240,CA,0
421.740.813.179.872,-29.999.969.533.406.100,15.444.530.759.238.800,7.359.270.015.480.590,-29.814.929.399.127.700,3.752.259.977.722.350,323.640.813.179.872,44.030.684.902.451.700,9.071.512.994.463.550,14.589.379.648.939.000,16.711.588.656.038.300,-2.996.178.418.318.910,10.355.480.834.310.300,TRO,0
8.459.200.286.300.980,-29.999.993.214.516.300,1.577.803.802.489.130,7.254.405.438.775.470,-29.958.099.398.170.700,913.893.471.894.343,7.478.200.286.300.980,8.066.819.650.692.340,6.151.876.474.957.610,17.618.046.778.918.300,18.294.195.847.896.400,64.426.876.163.043.200,29.389.044.644.617.500,SAL,0
11.139.694.868.837.200,-2.972.854.465.255.390,10.707.411.181.984.200,12.510.675.245.317.100,-298.984.341.757.487,19.638.127.041.790.800,13.296.948.688.372.400,10.033.549.151.546.300,736.208.719.688.806,2.137.819.387.952.160,20.789.978.326.838.400,-29.083.173.730.752.400,-4.067.997.422.128.160,SEN,0
14.054.520.724.052.800,-299.336.732.896.274,-6.680.323.760.031.000,36.238.686.191.513.400,-27.809.794.439.177.300,-14.468.255.761.498.200,4.244.520.724.052.880,12.002.972.108.197.200,4.616.030.499.816.220,14.955.653.697.795.400,2.609.503.384.876.120,-29.982.390.203.243.800,2.010.712.297.399.140,CA,0
7.138.176.451.168.400,-29.999.969.747.983.300,18.081.029.967.096.800,8.561.807.173.067.680,-29.889.307.381.802.200,13.106.351.880.715.400,6.157.176.451.168.400,4.192.029.678.248.010,5.319.009.120.131.680,20.228.810.373.336.500,17.675.678.335.805.100,-2.974.707.950.615.680,4.016.982.014.626.420,TRO,0
9.808.410.433.773.710,-29.916.457.572.459.500,1.139.920.276.855.950,11.388.925.007.188.900,-2.919.062.209.077.570,19.829.805.430.969.500,0,9.450.577.589.462.580,9.515.246.196.703.920,21.496.920.446.308.700,21.551.361.453.178.100,-20.869.296.081.712.000,-759.250.392.713.411,SEN,0
1.164.920.620.875.480,-29.921.714.945.219.900,-2.271.763.954.118.350,38.649.391.884.432.200,-22.702.235.719.184.400,-3.472.166.169.463.020,18.392.062.087.548.800,14.814.726.100.360.800,3.323.679.589.445.500,20.378.900.765.385.000,195.775.686.346.962,-29.979.874.543.418.900,-13.610.512.109.283.900,CA,0
